,Number of features,Test error,Train error,Norm of the weights,Square Train error,Square train Test error,Zero one Train error,Zero one train Test error
0,1000.0,,,11.545420871851324,8.211951452575422,8.537355181308712,81.94,89.47
1,2357.0,,,21.922059907252287,8.0173080636273,8.7378075284602,76.67833333333334,89.7
2,3714.0,,,28.349639420269803,7.837571068785544,8.938728799801106,72.11166666666666,89.73
3,5071.0,,,32.8763026292998,7.619891524853456,9.246363792304432,68.035,90.11
4,6428.0,,,36.18363031818195,7.456205195646926,9.376340237613752,64.63833333333334,89.63
5,7785.0,,,38.379018925855334,7.241538359899899,9.649662011971172,61.25333333333334,89.4
6,9142.0,,,40.55492378141919,7.071285664022957,9.981228021379302,58.11166666666667,89.96
7,10500.0,,,42.244280961649636,6.875770260288294,10.158479203948545,55.36,89.5
8,11857.0,,,43.75377880144024,6.718838391167469,10.486326580857853,52.528333333333336,89.26
9,13214.0,,,44.98010329687411,6.5001438834919885,10.74323399030764,49.83833333333333,89.49000000000001
10,14571.0,,,45.88782024988637,6.316815660831397,10.920909183588291,47.31333333333333,90.39
11,15928.0,,,46.71927894949091,6.114479589431622,11.519768188254767,44.80666666666666,90.0
12,17285.0,,,47.5548671468154,5.93692568624277,11.68933800618256,42.67999999999999,89.78
13,18642.0,,,48.19315861439003,5.723219082043984,12.118014350627263,40.39166666666667,89.86
14,20000.0,,,48.89928748060315,5.547354393144822,12.591890177526754,38.26500000000001,89.67
